Sample Index,Timestamp,Human Readable Time,Packet Index,Amplitude
0,1750583533.0,2025-06-22 11:12:13.000000,0,0.0
1,1750583533.001,2025-06-22 11:12:13.001000,0,0.30901700258255005
2,1750583533.002,2025-06-22 11:12:13.002000,0,0.5877852439880371
3,1750583533.003,2025-06-22 11:12:13.003000,0,0.80901700258255
4,1750583533.004,2025-06-22 11:12:13.004000,0,0.9510565400123596
5,1750583533.005,2025-06-22 11:12:13.005000,0,1.0
6,1750583533.006,2025-06-22 11:12:13.006000,0,0.9510564804077148
7,1750583533.007,2025-06-22 11:12:13.007000,0,0.8090168833732605
8,1750583533.008,2025-06-22 11:12:13.008000,0,0.5877851843833923
9,1750583533.009,2025-06-22 11:12:13.009000,0,0.30901703238487244
10,1750583533.01,2025-06-22 11:12:13.010000,0,1.5099580252808664e-07
11,1750583533.011,2025-06-22 11:12:13.011000,0,-0.30901697278022766
12,1750583533.012,2025-06-22 11:12:13.012000,0,-0.5877853631973267
13,1750583533.013,2025-06-22 11:12:13.013000,0,-0.8090171217918396
14,1750583533.014,2025-06-22 11:12:13.014000,0,-0.9510565996170044
15,1750583533.015,2025-06-22 11:12:13.015000,0,-1.0
16,1750583533.016,2025-06-22 11:12:13.016000,0,-0.9510564804077148
17,1750583533.017,2025-06-22 11:12:13.017000,0,-0.8090168237686157
18,1750583533.018,2025-06-22 11:12:13.018000,0,-0.5877853035926819
19,1750583533.019,2025-06-22 11:12:13.019000,0,-0.3090173900127411
20,1750583533.02,2025-06-22 11:12:13.020000,0,-3.019916050561733e-07
21,1750583533.021,2025-06-22 11:12:13.021000,0,0.3090168237686157
22,1750583533.022,2025-06-22 11:12:13.022000,0,0.5877852439880371
23,1750583533.023,2025-06-22 11:12:13.023000,0,0.8090170621871948
24,1750583533.024,2025-06-22 11:12:13.024000,0,0.9510565400123596
25,1750583533.025,2025-06-22 11:12:13.025000,0,1.0
26,1750583533.026,2025-06-22 11:12:13.026000,0,0.9510564208030701
27,1750583533.027,2025-06-22 11:12:13.027000,0,0.8090165853500366
28,1750583533.028,2025-06-22 11:12:13.028000,0,0.5877846479415894
29,1750583533.029,2025-06-22 11:12:13.029000,0,0.3090170919895172
30,1750583533.03,2025-06-22 11:12:13.030000,0,-2.384976127700611e-08
31,1750583533.031,2025-06-22 11:12:13.031000,0,-0.309017151594162
32,1750583533.032,2025-06-22 11:12:13.032000,0,-0.5877854824066162
33,1750583533.033,2025-06-22 11:12:13.033000,0,-0.8090172410011292
34,1750583533.034,2025-06-22 11:12:13.034000,0,-0.951056718826294
35,1750583533.035,2025-06-22 11:12:13.035000,0,-1.0
36,1750583533.036,2025-06-22 11:12:13.036000,0,-0.9510565400123596
37,1750583533.037,2025-06-22 11:12:13.037000,0,-0.80901700258255
38,1750583533.038,2025-06-22 11:12:13.038000,0,-0.5877859592437744
39,1750583533.039,2025-06-22 11:12:13.039000,0,-0.30901679396629333
40,1750583533.04,2025-06-22 11:12:13.040000,0,-6.039832101123466e-07
41,1750583533.041,2025-06-22 11:12:13.041000,0,0.30901744961738586
42,1750583533.042,2025-06-22 11:12:13.042000,0,0.5877849459648132
43,1750583533.043,2025-06-22 11:12:13.043000,0,0.8090174198150635
44,1750583533.044,2025-06-22 11:12:13.044000,0,0.9510564804077148
45,1750583533.045,2025-06-22 11:12:13.045000,0,1.0
46,1750583533.046,2025-06-22 11:12:13.046000,0,0.9510564804077148
47,1750583533.047,2025-06-22 11:12:13.047000,0,0.8090174198150635
48,1750583533.048,2025-06-22 11:12:13.048000,0,0.5877848863601685
49,1750583533.049,2025-06-22 11:12:13.049000,0,0.3090173900127411
50,1750583533.05,2025-06-22 11:12:13.050000,0,-6.755324761797965e-07
51,1750583533.051,2025-06-22 11:12:13.051000,0,-0.3090159296989441
52,1750583533.052,2025-06-22 11:12:13.052000,0,-0.5877860188484192
53,1750583533.053,2025-06-22 11:12:13.053000,0,-0.8090165257453918
54,1750583533.054,2025-06-22 11:12:13.054000,0,-0.9510568976402283
55,1750583533.055,2025-06-22 11:12:13.055000,0,-1.0
56,1750583533.056,2025-06-22 11:12:13.056000,0,-0.9510560631752014
57,1750583533.057,2025-06-22 11:12:13.057000,0,-0.8090171813964844
58,1750583533.058,2025-06-22 11:12:13.058000,0,-0.5877854228019714
59,1750583533.059,2025-06-22 11:12:13.059000,0,-0.3090170621871948
60,1750583533.06,2025-06-22 11:12:13.060000,0,4.769952255401222e-08
61,1750583533.061,2025-06-22 11:12:13.061000,0,0.309017151594162
62,1750583533.062,2025-06-22 11:12:13.062000,0,0.5877854824066162
63,1750583533.063,2025-06-22 11:12:13.063000,0,0.8090172410011292
64,1750583533.064,2025-06-22 11:12:13.064000,0,0.951056718826294
65,1750583533.065,2025-06-22 11:12:13.065000,0,1.0
66,1750583533.066,2025-06-22 11:12:13.066000,0,0.9510562419891357
67,1750583533.067,2025-06-22 11:12:13.067000,0,0.8090164661407471
68,1750583533.068,2025-06-22 11:12:13.068000,0,0.5877844095230103
69,1750583533.069,2025-06-22 11:12:13.069000,0,0.3090176582336426
70,1750583533.07,2025-06-22 11:12:13.070000,0,5.801334168609174e-07
71,1750583533.071,2025-06-22 11:12:13.071000,0,-0.3090183734893799
72,1750583533.072,2025-06-22 11:12:13.072000,0,-0.587785005569458
73,1750583533.073,2025-06-22 11:12:13.073000,0,-0.8090168833732605
74,1750583533.074,2025-06-22 11:12:13.074000,0,-0.9510564804077148
75,1750583533.075,2025-06-22 11:12:13.075000,0,-1.0
76,1750583533.076,2025-06-22 11:12:13.076000,0,-0.9510570764541626
77,1750583533.077,2025-06-22 11:12:13.077000,0,-0.8090168237686157
78,1750583533.078,2025-06-22 11:12:13.078000,0,-0.5877848863601685
79,1750583533.079,2025-06-22 11:12:13.079000,0,-0.3090164363384247
80,1750583533.08,2025-06-22 11:12:13.080000,0,-1.2079664202246931e-06
81,1750583533.081,2025-06-22 11:12:13.081000,0,0.30901777744293213
82,1750583533.082,2025-06-22 11:12:13.082000,0,0.5877860188484192
83,1750583533.083,2025-06-22 11:12:13.083000,0,0.8090165257453918
84,1750583533.084,2025-06-22 11:12:13.084000,0,0.9510563015937805
85,1750583533.085,2025-06-22 11:12:13.085000,0,1.0
86,1750583533.086,2025-06-22 11:12:13.086000,0,0.9510560631752014
87,1750583533.087,2025-06-22 11:12:13.087000,0,0.8090171813964844
